"id","pct_2012","pct_2010","neighborhood","supervisorial_district","BART_district","assembly_district","congressional_district"
"84006075PCT1101","1101","1101","EXCELSIOR",11,9,19,14
"84006075PCT1102","1102","1104","EXCELSIOR",11,9,19,14
"84006075PCT1103","1103","1102","EXCELSIOR",11,9,19,14
"84006075PCT1104","1104","1105","EXCELSIOR",11,9,19,14
"84006075PCT1105","1105","1105","EXCELSIOR",11,9,19,14
"84006075PCT1106","1106","1113","INGLESIDE",11,8,19,14
"84006075PCT1107","1107","1114","INGLESIDE",11,8,19,14
"84006075PCT1108","1108","1115","INGLESIDE",11,8,19,14
"84006075PCT1109","1109","1116","INGLESIDE",11,8,19,14
"84006075PCT1111","1111","1117","INGLESIDE",11,8,19,14
"84006075PCT1112","1112","1118","INGLESIDE",11,8,19,14
"84006075PCT1113","1113","1119","EXCELSIOR",11,9,19,14
"84006075PCT1114","1114","1121","EXCELSIOR",11,9,19,14
"84006075PCT1115","1115","1125","INGLESIDE",11,8,19,14
"84006075PCT1116","1116","1126","INGLESIDE",11,8,19,14
"84006075PCT1117","1117","1127","INGLESIDE",11,8,19,14
"84006075PCT1118","1118","1128","INGLESIDE",11,8,19,14
"84006075PCT1119","1119","1129","INGLESIDE",11,8,19,14
"84006075PCT1121","1121","1133","EXCELSIOR",11,8,19,14
"84006075PCT1122","1122","1119","EXCELSIOR",11,8,19,14
"84006075PCT1123","1123","1128","INGLESIDE",11,8,19,14
"84006075PCT1124","1124","1131","INGLESIDE",11,8,19,14
"84006075PCT1125","1125","1132","EXCELSIOR",11,8,19,14
"84006075PCT1126","1126","1141","EXCELSIOR",11,8,19,14
"84006075PCT1127","1127","1142","EXCELSIOR",11,8,19,14
"84006075PCT1128","1128","1134","EXCELSIOR",11,8,19,14
"84006075PCT1129","1129","1143","EXCELSIOR",11,8,19,14
"84006075PCT1131","1131","1144","EXCELSIOR",11,8,19,14
"84006075PCT1132","1132","1135","EXCELSIOR",11,8,19,14
"84006075PCT1133","1133","1145","EXCELSIOR",11,8,19,14
"84006075PCT1134","1134","1146","EXCELSIOR",11,8,19,14
"84006075PCT1135","1135","1147","EXCELSIOR",11,8,19,14
"84006075PCT1136","1136","2008","EXCELSIOR",11,8,19,14
"84006075PCT1141","1141","1103","EXCELSIOR",11,9,17,12
"84006075PCT1142","1142","1106","EXCELSIOR",11,9,17,12
"84006075PCT1143","1143","1107","EXCELSIOR",11,9,17,12
"84006075PCT1144","1144","1108","EXCELSIOR",11,9,17,12
"84006075PCT1145","1145","1109","EXCELSIOR",11,9,17,12
"84006075PCT1146","1146","1122","EXCELSIOR",11,9,17,12
"84006075PCT1147","1147","1123","EXCELSIOR",11,9,17,12
"84006075PCT1148","1148","1138","EXCELSIOR",11,9,17,12
"84006075PCT1149","1149","1124","EXCELSIOR",11,9,17,12
"84006075PCT1151","1151","2001","VISITA VLY",11,8,17,12
"84006075PCT1152","1152","1136","EXCELSIOR",11,9,17,12
"84006075PCT1153","1153","1137","EXCELSIOR",11,9,17,12
"84006075PCT1154","1154","1137","EXCELSIOR",11,8,17,12
"84006075PCT7001","7001","3647","MISSION",10,9,17,12
